Document,Sentiment_Score,Unique_Words,Total_Words,Sentences
P1,0.765,61,83,9
P2,-0.4215,49,82,6
P3,0.8818,57,102,7
P4,0.8481,88,129,8
P5,0.3744,64,104,7
P6,0.9566,101,159,15
P7,0.101,104,138,12
P8,0.6607,68,105,8
P9,0.7184,51,104,6
P10,0.6757,46,96,7
P11,0.9169,77,110,8
P12,0.9136,90,125,6
P13,0.2762,69,94,6
P14,0.9394,75,139,13
P15,0.9318,77,143,15
P16,0.9517,78,131,9
P17,0.8885,76,124,10
P18,0.7819,87,163,10
P19,0.9246,61,84,7
P20,-0.9393,55,109,9
P21,-0.9134,76,121,4
P22,0.9685,109,136,7
P23,-0.8343,102,150,17
P24,0.8885,102,134,11
P25,0.7046,52,82,7
P26,0.6153,56,90,10
P27,0.8442,59,87,10
P28,0.9403,61,102,3
P29,0.9186,61,81,5
P30,0.9565,62,98,6
P31,0.9861,68,119,17
P32,-0.09,72,124,13
P33,0.903,61,107,14
P34,0.647,65,124,2
P35,0.8442,65,146,14
P36,-0.9934,58,99,7
P37,0.9898,81,128,11
P38,0.8454,112,178,20
P39,0.4585,112,147,14
P40,-0.9696,65,132,15
